song_id,language,singer,valence,arousal,genre
english_Shape_of_You,English,Ed Sheeran,0.9,0.8,POP
english_Someone_Like_You,English,Adele,0.2,0.3,POP
english_Happy,English,Pharrell Williams,0.95,0.9,POP
english_Rolling_in_the_Deep,English,Adele,0.2,0.7,POP
english_Thunderstruck,English,AC/DC,0.8,0.95,ROCK
english_Fix_You,English,Coldplay,0.4,0.3,ALTERNATIVE
english_Let_It_Be,English,The Beatles,0.7,0.4,ROCK
english_Lose_Yourself,English,Eminem,0.6,0.9,HIP_HOP
english_Thinking_Out_Loud,English,Ed Sheeran,0.8,0.4,POP
english_Wake_Me_Up,English,Avicii,0.85,0.85,EDM
english_Believer,English,Imagine Dragons,0.6,0.95,ALTERNATIVE
english_Shallow,English,Lady Gaga & Bradley Cooper,0.5,0.4,POP
english_Counting_Stars,English,OneRepublic,0.85,0.85,ROCK
english_Stay_With_Me,English,Sam Smith,0.3,0.3,RNB_SOUL
english_Perfect,English,Ed Sheeran,0.9,0.5,POP
english_Viva_La_Vida,English,Coldplay,0.8,0.7,ALTERNATIVE
english_Demons,English,Imagine Dragons,0.3,0.5,ALTERNATIVE
english_All_of_Me,English,John Legend,0.85,0.5,POP
english_Uptown_Funk,English,Bruno Mars,0.95,0.9,POP
english_Stronger,English,Kanye West,0.7,0.9,EDM
english_Radioactive,English,Imagine Dragons,0.6,0.9,ALTERNATIVE
english_Say_You_Won’t_Let_Go,English,James Arthur,0.85,0.5,POP
english_Boulevard_of_Broken_Dreams,English,Green Day,0.3,0.6,ALTERNATIVE
english_Numb,English,Linkin Park,0.2,0.8,METAL
english_In_the_End,English,Linkin Park,0.3,0.85,METAL
english_Happier,English,Marshmello ft. Bastille,0.5,0.6,POP
english_Bad_Guy,English,Billie Eilish,0.6,0.7,POP
english_Clocks,English,Coldplay,0.7,0.6,ALTERNATIVE
english_Smells_Like_Teen_Spirit,English,Nirvana,0.4,0.95,ROCK
english_Grenade,English,Bruno Mars,0.2,0.7,POP
english_Hello,English,Adele,0.2,0.4,POP
english_Can’t_Stop_the_Feeling!,English,Justin Timberlake,0.95,0.85,POP
