song_id,language,singer,valence,arousal,genre,main_genre
english_Shape_of_You,English,Ed Sheeran,0.9,0.8,Tropical Pop,Pop
english_Someone_Like_You,English,Adele,0.38,0.79,Soul Pop Ballad,R&B
english_Happy,English,Pharrell Williams,0.56,0.81,Neo-Soul Funk Pop,R&B
english_Rolling_in_the_Deep,English,Adele,0.2,0.7,Soul Pop,R&B
english_Thunderstruck,English,AC/DC,0.8,0.95,Hard Rock,Rock
english_Fix_You,English,Coldplay,0.67,0.53,Alternative Rock Ballad,Rock
english_Let_It_Be,English,The Beatles,0.74,0.65,Soft Rock,Rock
english_Lose_Yourself,English,Eminem,0.76,0.57,Hardcore Hip-Hop,Hip-Hop
english_Thinking_Out_Loud,English,Ed Sheeran,0.84,0.42,Soul Pop Ballad,R&B
english_Wake_Me_Up,English,Avicii,0.7,0.78,Folk EDM,Electronic
english_Believer,English,Imagine Dragons,0.6,0.45,Alternative Rock,Rock
english_Shallow,English,Lady Gaga & Bradley Cooper,0.68,0.82,Country Pop Ballad,Country
english_Counting_Stars,English,OneRepublic,0.6,0.45,Pop Rock,Rock
english_Stay_With_Me,English,Sam Smith,0.54,0.67,Soul Pop Ballad,R&B
english_Perfect,English,Ed Sheeran,0.74,0.71,Pop Ballad,Pop
english_Viva_La_Vida,English,Coldplay,0.8,0.7,Baroque Pop,Pop
english_Demons,English,Imagine Dragons,0.39,0.6,Alternative Pop Rock,Rock
english_All_of_Me,English,John Legend,0.59,0.57,Soul Pop Ballad,R&B
english_Uptown_Funk,English,Bruno Mars,0.98,0.8,Funk Pop,R&B
english_Stronger,English,Kanye West,0.67,0.4,Electronic Dance Pop,Electronic
english_Radioactive,English,Imagine Dragons,0.6,0.9,Alternative Electronic Rock,Rock
english_Say_You_Won’t_Let_Go,English,James Arthur,0.85,0.5,Acoustic Pop Ballad,Pop
english_Boulevard_of_Broken_Dreams,English,Green Day,0.64,0.6,Alternative Rock,Rock
english_Numb,English,Linkin Park,0.46,0.74,Alternative Metal,Rock
english_In_the_End,English,Linkin Park,0.6,0.56,Rap Rock,Hip-Hop
english_Happier,English,Marshmello ft. Bastille,0.3,0.57,Electropop,Electronic
english_Bad_Guy,English,Billie Eilish,0.51,0.68,Electropop,Electronic
english_Clocks,English,Coldplay,0.64,0.58,Alternative Rock,Rock
english_Smells_Like_Teen_Spirit,English,Nirvana,0.4,0.95,Grunge Rock,Rock
english_Grenade,English,Bruno Mars,0.41,0.39,Pop Soul,R&B
english_Hello,English,Adele,0.48,0.81,Soul Pop Ballad,R&B
english_Can’t_Stop_the_Feeling!,English,Justin Timberlake,0.95,0.85,Dance Pop,Pop
hindi_Tum_Hi_Ho,Hindi,Arijit Singh,0.8,0.4,Indian Film Romantic Ballad,Pop
hindi_Channa_Mereya,Hindi,Arijit Singh,0.2,0.3,Indian Film Ghazal,Classical
hindi_Dil_Diyan_Gallan,Hindi,Atif Aslam,0.8,0.4,Indian Film Romantic Ballad,Pop
hindi_Agar_Tum_Saath_Ho,Hindi,Alka Yagnik & Arijit Singh,0.3,0.3,Indian Film Sad Ballad,Classical
hindi_Bekhayali,Hindi,Sachet Tandon,0.3,0.7,Indian Film Acoustic Rock Ballad,Rock
hindi_Tum_Mile,Hindi,Neeraj Shridhar,0.7,0.4,Indian Film Romantic Ballad,Pop
hindi_Kabira,Hindi,Tochi Raina & Rekha Bhardwaj,0.5,0.5,Indian Film Folk Ballad,Country
