song_id,language,singer,valence,arousal,genre,main_genre
english_Gossip_Folks,English,Missy Elliott,0.9,0.86,Hip-Hop,Hip-Hop
english_Mars,English,Gustav Holst,0.65,0.53,classical,Classical
english_Bring_the_Pain,English,Method Man,0.92,0.82,Hip-Hop,Hip-Hop
english_Simple,English,Florida Georgia Line,0.73,0.7,Country,Country
english_Re_Definition,English,Black Star,0.65,0.48,Alternative Hip-Hop,Hip-Hop
english_Love_of_My_Life,English,Brian McKnight,0.88,0.66,R&B,R&B
hindi_Maula_Mere_Le_Le_Meri_Jaan,Hindi,Krishna Beura,0.42,0.38,Indian Film Sufi Ballad,Classical
hindi_Ilahi,Hindi,Arijit Singh,0.85,0.75,Indian Film Travel Pop,Pop
english_Mark_Of_The_Usurper,English,Shadow Keep,0.64,0.62,Jazz,Jazz
english_Steelo,English,702,0.92,0.84,R&B,R&B
english_What_a_Man_Gotta_Do,English,Jonas Brothers,0.93,0.87,Pop,Pop
english_Kobwebz,English,Gonjasufi,0.45,0.6,electronic,Electronic
english_Where_Were_You_(When_the_World_Stopped_Turning),English,Alan Jackson,0.62,0.4,Country,Country
english_Energy,English,Keri Hilson,0.81,0.73,R&B,R&B
english_Violin_Concerto,English,Mieczysław Weinberg,0.88,0.65,Classical,Classical
english_Wild_Ones,English,Flo Rida,0.9,0.87,Hip-Hop,Hip-Hop
english_Pass_That_Dutch,English,Missy Elliott,0.76,0.66,Hip-Hop,Hip-Hop
english_Really,English,Nellie McKay,0.55,0.58,Jazz,Jazz
english_My_Philosophy,English,Boogie Down Productions,0.76,0.62,Hip-Hop,Hip-Hop
english_Un-Break_My_Heart_(Live),English,Toni Braxton,0.84,0.68,R&B,R&B
english_Riders_on_the_Storm,English,The Doors,0.5,0.6,Psychedelic Rock,Rock
english_As_the_World_Caves_In,English,Matt Maltese,0.2,0.35,Indie Pop,Pop
english_Team,English,Lorde,0.38,0.21,Electronic Pop,Electronic
english_Pavana,English,David Russell,0.86,0.57,classical,Classical
english_Daddy's_Hands,English,Holly Dunn,0.92,0.68,Country,Country
english_You're_Gonna_Miss_Me_When_I'm_Gone,English,Brooks & Dunn,0.94,0.84,Country,Country
english_Bulls_on_Parade,English,Rage Against the Machine,0.35,0.95,Rap Metal,Hip-Hop
english_Shake_It_Off,English,Taylor Swift,0.86,0.73,Dance Pop,Pop
english_Dead_&_Bloated,English,Stone Temple Pilots,0.72,0.88,Rock,Rock
english_Lilium,English,野間久美子,0.54,0.49,classical,Classical
english_Thinkin_Bout_You,English,Frank Ocean,0.87,0.54,Alternative R&B,R&B
english_I_Should_Have_Cheated,English,Keyshia Cole,0.8,0.74,R&B,R&B
english_This_Is_What_It_Feels_Like,English,Armin van Buuren,0.63,0.58,Pop,Pop
english_Pärt_–_Summa,English,Arvo Pärt,0.6,0.34,Classical,Classical
english_Clash,English,Junkie XL,0.86,0.74,electronic,Electronic
hindi_Bhool_Bhulaiyaa_2_Title_Track,Hindi,Neeraj Shridhar,0.85,0.9,Bollywood Dance Pop,Pop
english_Something_in_the_Way_You_Move,English,Ellie Goulding,0.94,0.88,Pop,Pop
english_EI,English,Nelly,0.87,0.81,Hip-Hop,Hip-Hop
english_Travelin'_Soldier,English,The Chicks,0.45,0.4,Patriotic Country,Country
english_Shuggie,English,Foxygen,0.65,0.7,Indie Rock,Rock
english_Desperado,English,Eagles,0.78,0.6,Rock,Rock
hindi_Pyar_Hua_Ikrar_Hua,Hindi,Lata Mangeshkar & Manna Dey,0.9,0.3,Indian Film Romantic Duet,Pop
english_Fyuz,English,Add N To (X),0.65,0.69,electronic,Electronic
english_Rituals,English,Nicola Conte,0.65,0.61,Jazz,Jazz
english_They_Like_It_Slow,English,H-Town,0.9,0.76,R&B,R&B
english_Clusterthing,English,Flat Earth Society,0.94,0.96,Jazz,Jazz
english_Cinema_Paradiso_(Main_Theme),English,Charlie Haden & Pat Metheny,0.78,0.45,Jazz,Jazz
english_Born_Slippy_(Nuxx),English,Underworld,0.7,0.89,Big Beat,Electronic
english_I'll_Be_Missing_You,English,Puff Daddy ft. Faith Evans,0.66,0.48,Hip-Hop R&B,R&B
english_Ex_ego,English,Możdżer Danielsson Fresco,0.76,0.75,Jazz,Jazz
english_For_All_We_Know,English,Nina Simone,0.39,0.53,Jazz,Jazz
english_Round_Here,English,Counting Crows,0.9,0.81,Rock,Rock
english_Burn_Out,English,Last Of The Hunted Sonz Of Freestyle,0.64,0.66,electronic,Electronic
english_I_Can_Hear_The_Bells,English,Marissa Jaret Winokur,0.94,0.79,classical,Classical
english_Cold_Hard_Bitch,English,Jet,0.86,0.92,Rock,Rock
english_Kashmir,English,Led Zeppelin,0.76,0.87,Rock,Rock
english_This_Is_What_You_Came_For,English,Calvin Harris ft. Rihanna,0.8,0.82,Electronic Dance Pop,Electronic
english_Massenet_–_Meditation_from_Thaïs,English,Jules Massenet,0.74,0.38,Classical,Classical
english_Dangerous_Woman,English,Ariana Grande,0.85,0.86,Pop,Pop
hindi_Tum_Hi_Ho,Hindi,Arijit Singh,0.8,0.4,Indian Film Romantic Ballad,Pop
english_Myaskovsky_–_Cello_Concerto,English,Nikolai Myaskovsky,0.62,0.64,Classical,Classical
english_Love_You_Madly,English,Ella Fitzgerald,0.85,0.68,Jazz,Jazz
english_Irreplaceable_(Acoustic),English,Beyonce,0.88,0.68,R&B,R&B
english_Breathe,English,Télépopmusik,0.52,0.83,Indie Pop,Pop
english_Britten_–_Young_Person's_Guide_to_the_Orchestra,English,Benjamin Britten,0.86,0.74,Classical,Classical
english_The_Seasons_-_Autumn_('Baccanale'_and_'Petit_Adagio'),English,Alexander Glazoenov,0.75,0.44,classical,Classical
english_Somebody's_Body,English,George Duke,0.42,0.46,Jazz,Jazz
hindi_Dil_Bechara,Hindi,A.R. Rahman,0.9,0.9,Indian Film Sad Ballad,Classical
english_Free_Fallin',English,Tom Petty,0.9,0.7,Heartland Rock,Rock
english_Automatic,English,Miranda Lambert,0.36,0.71,Country,Country
hindi_London_Thumakda,Hindi,"Labh Janjua, Sonu Kakkar",0.92,0.9,Punjabi Folk Dance,Country
english_Budapest,English,George Ezra,0.75,0.65,Indie Pop,Pop
english_ライラニア,English,志方あきこ,0.61,0.57,Jazz,Jazz
english_Higher_Ground,English,Red Hot Chili Peppers,0.8,0.85,Funk Rock,R&B
english_Bad_and_Boujee,English,Migos ft. Lil Uzi Vert,0.7,0.85,Trap Hip-Hop,Hip-Hop
english_You_Go_to_My_Head,English,Billie Holiday,0.33,0.27,Jazz Ballad,Jazz
english_Just_a_Kiss,English,Lady A,0.65,0.63,Country,Country
english_Crazy_Little_Thing_Called_Love,English,Queen,0.8,0.85,Rockabilly,Country
english_Confessions_Part_II,English,Usher,0.86,0.74,R&B,R&B
english_eternal_return,English,Ferri,0.66,0.72,electronic,Electronic
english_Nostalgico,English,志方あきこ,0.62,0.53,electronic,Electronic
english_A_Man_Alone,English,Frank Sinatra,0.54,0.37,Jazz,Jazz
english_Live_Wire,English,Motley Crue,0.84,0.84,Rock,Rock
english_Keeper_of_the_Stars,English,Tracy Byrd,0.94,0.72,Country,Country
english_Talk_Dirty_to_Me,English,Poison,0.92,0.88,Rock,Rock
hindi_Ghar_More_Pardesiya,Hindi,Shreya Ghoshal,0.34,0.26,Indian Film Classical Ballad,Classical
english_Still_of_the_Night,English,Whitesnake,0.73,0.8,Rock,Rock
english_Late,English,Kanye West,0.78,0.45,Hip-Hop,Hip-Hop
english_We_Own_the_Night,English,Tiesto & Wolfpack,0.62,0.44,Electronic Dance,Electronic
english_Millionaire,English,Chris Stapleton,0.76,0.68,Country,Country
english_Titanium,English,David Guetta ft. Sia,0.76,0.27,Electronic Dance,Electronic
english_Roads_(Live),English,Portishead,0.46,0.37,Trip Hop,Electronic
english_A_Lot,English,21 Savage,0.58,0.69,Hip-Hop,Hip-Hop
hindi_Dooba_Dooba,Hindi,Silk Route,0.65,0.55,Indian Indie Pop,Pop
hindi_Kyun,Hindi,Papon,0.45,0.51,Indian Film Sad Ballad,Classical
english_Purified_(Prelude),English,Skrol,0.64,0.58,classical,Classical
english_Body_and_Soul_(Live),English,Carmen McRae,0.33,0.61,Jazz,Jazz
hindi_Ae_Dil_Hai_Mushkil,Hindi,Arijit Singh,0.4,0.5,Indian Film Sad Ballad,Classical
english_Real_Life,English,Jake Owen,0.7,0.57,Country,Country
english_Don’t_Go_Yet,English,Camila Cabello,0.75,0.85,Latin Pop,Pop
english_Hold_the_Line,English,Toto,0.9,0.88,Rock,Rock
english_Puccini_–_O_Mio_Babbino_Caro,English,Giacomo Puccini,0.62,0.48,Classical,Classical
english_Spiritual_Trance,English,Infected Mushroom,0.55,0.61,Electronic,Electronic
english_Rain_of_Brass_Petals,English,Akira Yamaoka,0.24,0.42,Electronic,Electronic
english_Waltz_of_the_Flowers,English,Pyotr Ilyich Tchaikovsky,0.89,0.7,classical,Classical
english_Jive_Samba,English,Cannonball Adderley,0.76,0.74,Jazz,Jazz
english_Allegro_Ma_non_Troppo,English,Ludwig van Beethoven,0.91,0.7,classical,Classical
english_Splitter,English,"greenwood, johnny",0.17,0.35,Jazz,Jazz
english_Teen_Town,English,Weather Report,0.73,0.76,Jazz Fusion,Jazz
english_Higher_State_of_Consciousness,English,Josh Wink,0.8,0.8,electronic,Electronic
