track,artist,seeds,number_of_emotion_tags,valence_tags,arousal_tags,dominance_tags,mbid,spotify_id,genre
'Till I Collapse,Eminem,['aggressive'],6,4.55,5.273125,5.690625,cab93def-26c5-4fb0-bedd-26ec4c1619e1,4xkOaSrkexMciUUogZKVTS,rap
St. Anger,Metallica,['aggressive'],8,3.71,5.833,5.42725,727a2529-7ee8-4860-aef6-7959884895cb,3fOc9x06lKJBhz435mInlH,metal
Speedin',Rick Ross,['aggressive'],1,3.08,5.87,5.49,,3Y96xd4Ce0J47dcalLrEC8,rap
Bamboo Banga,M.I.A.,"['aggressive', 'fun', 'sexy', 'energetic']",13,6.555071429,5.537214286,5.691357143,99dd2c8c-e7c1-413e-8ea4-4497a00ffa18,6tqFC1DIOphJkCwrjVzPmg,hip-hop
Die MF Die,Dope,['aggressive'],7,3.771176471,5.348235294,5.441764706,b9eb3484-5e0e-4690-ab5a-ca91937032a5,5bU4KX47KqtDKKaLM4QCzh,metal
Step Up,Drowning Pool,['aggressive'],9,2.971388889,5.5375,4.726388889,49e7b4d2-3772-4301-ba25-3cc46ceb342e,4Q1w4Ryyi8KNxxaFlOQClK,metal
Feedback,Kanye West,['aggressive'],1,3.08,5.87,5.49,,49fT6owWuknekShh9utsjv,hip-hop
7 Words,Deftones,"['aggressive', 'angry']",10,3.807121212,5.473939394,4.729090909,1a826083-5585-445f-a708-415dc90aa050,6DoXuH326aAYEN8CnlLmhP,nu metal
Limp,Fiona Apple,"['aggressive', 'angry', 'bitter']",20,3.737210884,5.610204082,4.626734694,4435982c-b83e-4daa-af2b-9f3430036bb7,104YdibC7VQy78xAVmgRYr,singer-songwriter
Sweet Amber,Metallica,['aggressive'],4,3.582758621,5.757241379,5.34,fe1cc051-faa7-4953-b331-f6196cd3ddae,5fU6qjmD38P90BMsuqpiuU,metal
Depression,Black Flag,['aggressive'],9,3.259444444,5.203055556,4.422777778,585398ed-1275-4579-9451-e8dd7db9d59c,1qxkzHlZBXFv5HfyYqJ8cy,punk
Comprachicos,Pendulum,"['aggressive', 'epic']",4,5.754166667,5.565333333,5.8365,a3c325ce-fac4-42b9-85da-b3c9e0f243af,2ZIJUwprFZrAaZCRKYfAno,industrial
When Girls Telephone Boys,Deftones,"['aggressive', 'angry', 'driving', 'energetic']",8,3.910740741,4.915555556,4.631851852,3bc2c1a9-43bc-45b2-87fc-4313eb2534fe,6xK3sBdRm99g9T8Ov0gjdF,metal
Two Words,Kanye West,"['aggressive', 'energetic']",3,4.564285714,5.13,4.842857143,f6cc8417-e590-494c-aba9-e3cbc536442d,62wtttQzoIA9HnNmGVd9Yq,hip-hop
What I See,Black Flag,"['aggressive', 'angry']",7,3.20547619,5.026904762,4.584761905,8050e7e7-2c7a-4390-bf77-eaedf293c626,3DaC3oRpGInTU0x8DvdSGp,punk
Requiem,Lamb of God,['aggressive'],2,2.97,5.936,5.214,23b46286-3b27-431b-8943-9be9d37836f9,0DxYrFOfiFShTbO2XdFpBX,metalcore
Room 13,Black Flag,"['aggressive', 'angry']",8,3.285,5.297222222,4.716296296,b83fe0b7-d40d-4e77-9b2b-606d36e4a391,7EZlzu01NzbR1jWEIDSk5T,punk
Shake Ya Ass,Mystikal,['aggressive'],11,5.680882353,5.751911765,5.930882353,bf2761fe-8b4d-4cc8-bdea-0ccda7c3fed1,1jRzdY7oUBOhrylNtiMtBD,hip-hop
Combat,Deftones,"['aggressive', 'intense', 'epic', 'uplifting']",7,5.104098361,5.476229508,5.244672131,1b49361a-e594-490c-aa60-dde81b235d24,2tdzFXOsJLLI20QdnSqxr1,alternative metal
Glue Man,Fugazi,"['aggressive', 'confrontational', 'intense', 'epic', 'desperate']",7,3.838627451,4.41872549,4.059803922,9e387cb2-843f-4db0-a0eb-8ba677dfd93d,1Nvy8JAL3DrO0a6xdgJSvv,punk
Boom Boom,The Animals,['aggressive'],4,3.796341463,4.475853659,5.564390244,74fa2e8f-01c9-4eb3-8078-402c877b7e3b,3RwomkUaNHS0gFs3QqgudU,classic rock
Boys Wanna Be Her,Peaches,"['aggressive', 'fierce', 'sexy']",7,5.842,5.979833333,5.920166667,4f7635bb-a53e-4772-8351-82177499cf20,46sqkKk663MiT1u0WHLQKF,electroclash
No More,Black Flag,['aggressive'],5,3.5075,4.64875,4.8025,cb6d5d36-33e7-4e7a-b233-fd9f610cafe2,35BOEtOvV1qwzjblSKcPJ1,punk
Death Trend Setta,Crossfade,['aggressive'],3,2.96,5.609130435,4.957826087,20408c00-1e6d-4f0b-a907-24a6aae9b33a,6Xpm4ajdj9SkiP08JKg3vK,rock
Padded Cell,Black Flag,['aggressive'],5,3.984615385,5.235128205,5.487948718,5a69aa31-a004-4f5a-90c7-7389565431e9,6D69DWilPEsY2TqayoB7x5,punk
Angel Duster,Run the Jewels,"['aggressive', 'soft']",5,4.718333333,4.701666667,4.953333333,88af084e-ac25-40b4-84e3-cd0e488200cc,1V6qst2zfwpooDT1lfvDis,hip-hop
Cancer,Sick Puppies,['aggressive'],3,5.162857143,4.864571429,5.937428571,43ec7c8e-6b8a-41ec-8348-d141572b8b78,0zc4RPw8fXQSVCM5HQnUGU,rock
Knives and Pens,Black Veil Brides,['aggressive'],6,5.265714286,5.682857143,5.716428571,5512523a-e1eb-4712-bd63-e30495783993,2ZhswJTKMkNNTAjrTmPhOJ,post-hardcore
Mutherfuker,Beck,['aggressive'],9,4.899213483,5.558539326,5.174494382,ccf93ad3-ed73-46c3-9993-91633ee45aa8,,rock
